x,y,layer1,layer2,voltage1,voltage2,current
2917.56,3145.43,TOPLAYER,INTERNALPLANE1,0.014428,0.014428,0.000352064
2917.56,3145.43,INTERNALPLANE1,INTERNALPLANE2,0.014428,0.0144274,0.000352064
2917.56,3145.43,INTERNALPLANE2,BOTTOMLAYER,0.0144274,0.0144273,0.000352064
2917.56,3381.65,TOPLAYER,INTERNALPLANE1,0.0144226,0.0144226,0.000180849
2917.56,3381.65,INTERNALPLANE1,INTERNALPLANE2,0.0144226,0.0144223,0.000180849
2917.56,3381.65,INTERNALPLANE2,BOTTOMLAYER,0.0144223,0.0144223,0.000180849
2917.56,3617.87,TOPLAYER,INTERNALPLANE1,0.0144194,0.0144194,0.00011103
2917.56,3617.87,INTERNALPLANE1,INTERNALPLANE2,0.0144194,0.0144192,0.00011103
2917.56,3617.87,INTERNALPLANE2,BOTTOMLAYER,0.0144192,0.0144192,0.00011103
3153.78,783.226,TOPLAYER,INTERNALPLANE1,0.0149125,0.0148833,0.216123
3153.78,783.226,INTERNALPLANE1,INTERNALPLANE2,0.0148833,0.0145041,0.216123
3153.78,783.226,INTERNALPLANE2,BOTTOMLAYER,0.0145041,0.014475,0.216123
3153.78,1019.45,TOPLAYER,INTERNALPLANE1,0.0152159,0.0151846,0.2317
3153.78,1019.45,INTERNALPLANE1,INTERNALPLANE2,0.0151846,0.0147781,0.2317
3153.78,1019.45,INTERNALPLANE2,BOTTOMLAYER,0.0147781,0.0147468,0.2317
3153.78,1255.67,TOPLAYER,INTERNALPLANE1,0.0150816,0.0150577,0.177069
3153.78,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.0150577,0.014747,0.177069
3153.78,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.014747,0.0147231,0.177069
3153.78,1491.89,TOPLAYER,INTERNALPLANE1,0.0147856,0.0147759,0.0720541
3153.78,1491.89,INTERNALPLANE1,INTERNALPLANE2,0.0147759,0.0146495,0.0720541
3153.78,1491.89,INTERNALPLANE2,BOTTOMLAYER,0.0146495,0.0146398,0.0720541
3153.78,1728.11,TOPLAYER,INTERNALPLANE1,0.014644,0.0146397,0.0316373
3153.78,1728.11,INTERNALPLANE1,INTERNALPLANE2,0.0146397,0.0145842,0.0316373
3153.78,1728.11,INTERNALPLANE2,BOTTOMLAYER,0.0145842,0.0145799,0.0316373
3153.78,1964.33,TOPLAYER,INTERNALPLANE1,0.014567,0.014565,0.0145115
3153.78,1964.33,INTERNALPLANE1,INTERNALPLANE2,0.014565,0.0145395,0.0145115
3153.78,1964.33,INTERNALPLANE2,BOTTOMLAYER,0.0145395,0.0145376,0.0145115
3153.78,2200.55,TOPLAYER,INTERNALPLANE1,0.01452,0.014519,0.00684892
3153.78,2200.55,INTERNALPLANE1,INTERNALPLANE2,0.014519,0.014507,0.00684892
3153.78,2200.55,INTERNALPLANE2,BOTTOMLAYER,0.014507,0.0145061,0.00684892
3153.78,2436.77,TOPLAYER,INTERNALPLANE1,0.0144887,0.0144882,0.00328997
3153.78,2436.77,INTERNALPLANE1,INTERNALPLANE2,0.0144882,0.0144825,0.00328997
3153.78,2436.77,INTERNALPLANE2,BOTTOMLAYER,0.0144825,0.014482,0.00328997
3153.78,2672.99,TOPLAYER,INTERNALPLANE1,0.0144669,0.0144667,0.00159548
3153.78,2672.99,INTERNALPLANE1,INTERNALPLANE2,0.0144667,0.0144639,0.00159548
3153.78,2672.99,INTERNALPLANE2,BOTTOMLAYER,0.0144639,0.0144637,0.00159548
3153.78,2909.21,TOPLAYER,INTERNALPLANE1,0.0144514,0.0144513,0.000775717
3153.78,2909.21,INTERNALPLANE1,INTERNALPLANE2,0.0144513,0.0144499,0.000775717
3153.78,2909.21,INTERNALPLANE2,BOTTOMLAYER,0.0144499,0.0144498,0.000775717
3153.78,3145.43,TOPLAYER,INTERNALPLANE1,0.0144405,0.0144404,0.000376402
3153.78,3145.43,INTERNALPLANE1,INTERNALPLANE2,0.0144404,0.0144398,0.000376402
3153.78,3145.43,INTERNALPLANE2,BOTTOMLAYER,0.0144398,0.0144397,0.000376402
3153.78,3381.65,TOPLAYER,INTERNALPLANE1,0.0144332,0.0144332,0.000186583
3153.78,3381.65,INTERNALPLANE1,INTERNALPLANE2,0.0144332,0.0144328,0.000186583
3153.78,3381.65,INTERNALPLANE2,BOTTOMLAYER,0.0144328,0.0144328,0.000186583
3153.78,3617.87,TOPLAYER,INTERNALPLANE1,0.0144288,0.0144288,0.000108646
3153.78,3617.87,INTERNALPLANE1,INTERNALPLANE2,0.0144288,0.0144286,0.000108646
3153.78,3617.87,INTERNALPLANE2,BOTTOMLAYER,0.0144286,0.0144286,0.000108646
3390,783.226,TOPLAYER,INTERNALPLANE1,0.0156444,0.0156293,0.112006
3390,783.226,INTERNALPLANE1,INTERNALPLANE2,0.0156293,0.0154328,0.112006
3390,783.226,INTERNALPLANE2,BOTTOMLAYER,0.0154328,0.0154176,0.112006
3390,1019.45,TOPLAYER,INTERNALPLANE1,0.0154728,0.0154448,0.207473
3390,1019.45,INTERNALPLANE1,INTERNALPLANE2,0.0154448,0.0150808,0.207473
3390,1019.45,INTERNALPLANE2,BOTTOMLAYER,0.0150808,0.0150528,0.207473
3390,1255.67,TOPLAYER,INTERNALPLANE1,0.0152331,0.0152075,0.189788
3390,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.0152075,0.0148745,0.189788
3390,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.0148745,0.0148488,0.189788
3390,1491.89,TOPLAYER,INTERNALPLANE1,0.0148336,0.0148242,0.0696132
3390,1491.89,INTERNALPLANE1,INTERNALPLANE2,0.0148242,0.0147021,0.0696132
3390,1491.89,INTERNALPLANE2,BOTTOMLAYER,0.0147021,0.0146927,0.0696132
3390,1728.11,TOPLAYER,INTERNALPLANE1,0.0146808,0.0146766,0.0310317
3390,1728.11,INTERNALPLANE1,INTERNALPLANE2,0.0146766,0.0146222,0.0310317
3390,1728.11,INTERNALPLANE2,BOTTOMLAYER,0.0146222,0.014618,0.0310317
3390,1964.33,TOPLAYER,INTERNALPLANE1,0.0145973,0.0145954,0.0146065
3390,1964.33,INTERNALPLANE1,INTERNALPLANE2,0.0145954,0.0145697,0.0146065
3390,1964.33,INTERNALPLANE2,BOTTOMLAYER,0.0145697,0.0145678,0.0146065
3390,2200.55,TOPLAYER,INTERNALPLANE1,0.014544,0.0145431,0.00707133
3390,2200.55,INTERNALPLANE1,INTERNALPLANE2,0.0145431,0.0145307,0.00707133
3390,2200.55,INTERNALPLANE2,BOTTOMLAYER,0.0145307,0.0145297,0.00707133
3390,2436.77,TOPLAYER,INTERNALPLANE1,0.0145073,0.0145069,0.00346214
3390,2436.77,INTERNALPLANE1,INTERNALPLANE2,0.0145069,0.0145008,0.00346214
3390,2436.77,INTERNALPLANE2,BOTTOMLAYER,0.0145008,0.0145003,0.00346214
3390,2672.99,TOPLAYER,INTERNALPLANE1,0.0144813,0.0144811,0.00169854
3390,2672.99,INTERNALPLANE1,INTERNALPLANE2,0.0144811,0.0144781,0.00169854
3390,2672.99,INTERNALPLANE2,BOTTOMLAYER,0.0144781,0.0144779,0.00169854
3390,2909.21,TOPLAYER,INTERNALPLANE1,0.0144627,0.0144626,0.000826087
3390,2909.21,INTERNALPLANE1,INTERNALPLANE2,0.0144626,0.0144612,0.000826087
3390,2909.21,INTERNALPLANE2,BOTTOMLAYER,0.0144612,0.014461,0.000826087
3390,3145.43,TOPLAYER,INTERNALPLANE1,0.0144496,0.0144496,0.000389137
3390,3145.43,INTERNALPLANE1,INTERNALPLANE2,0.0144496,0.0144489,0.000389137
3390,3145.43,INTERNALPLANE2,BOTTOMLAYER,0.0144489,0.0144488,0.000389137
3390,3381.65,TOPLAYER,INTERNALPLANE1,0.0144409,0.0144409,0.000177484
3390,3381.65,INTERNALPLANE1,INTERNALPLANE2,0.0144409,0.0144405,0.000177484
3390,3381.65,INTERNALPLANE2,BOTTOMLAYER,0.0144405,0.0144405,0.000177484
3390,3617.87,TOPLAYER,INTERNALPLANE1,0.0144357,0.0144357,9.41258e-05
3390,3617.87,INTERNALPLANE1,INTERNALPLANE2,0.0144357,0.0144356,9.41258e-05
3390,3617.87,INTERNALPLANE2,BOTTOMLAYER,0.0144356,0.0144355,9.41258e-05
3626.22,1728.11,TOPLAYER,INTERNALPLANE1,0.014675,0.0146714,0.0262256
3626.22,1728.11,INTERNALPLANE1,INTERNALPLANE2,0.0146714,0.0146254,0.0262256
3626.22,1728.11,INTERNALPLANE2,BOTTOMLAYER,0.0146254,0.0146219,0.0262256
3626.22,1964.33,TOPLAYER,INTERNALPLANE1,0.014608,0.0146061,0.0139165
3626.22,1964.33,INTERNALPLANE1,INTERNALPLANE2,0.0146061,0.0145817,0.0139165
3626.22,1964.33,INTERNALPLANE2,BOTTOMLAYER,0.0145817,0.0145798,0.0139165
3626.22,2200.55,TOPLAYER,INTERNALPLANE1,0.014556,0.0145551,0.00716655
3626.22,2200.55,INTERNALPLANE1,INTERNALPLANE2,0.0145551,0.0145425,0.00716655
3626.22,2200.55,INTERNALPLANE2,BOTTOMLAYER,0.0145425,0.0145415,0.00716655
3626.22,2436.77,TOPLAYER,INTERNALPLANE1,0.0145175,0.014517,0.00362106
3626.22,2436.77,INTERNALPLANE1,INTERNALPLANE2,0.014517,0.0145107,0.00362106
3626.22,2436.77,INTERNALPLANE2,BOTTOMLAYER,0.0145107,0.0145102,0.00362106
3626.22,2672.99,TOPLAYER,INTERNALPLANE1,0.0144894,0.0144891,0.00180456
3626.22,2672.99,INTERNALPLANE1,INTERNALPLANE2,0.0144891,0.014486,0.00180456
3626.22,2672.99,INTERNALPLANE2,BOTTOMLAYER,0.014486,0.0144857,0.00180456
3626.22,2909.21,TOPLAYER,INTERNALPLANE1,0.0144691,0.014469,0.000876929
3626.22,2909.21,INTERNALPLANE1,INTERNALPLANE2,0.014469,0.0144674,0.000876929
3626.22,2909.21,INTERNALPLANE2,BOTTOMLAYER,0.0144674,0.0144673,0.000876929
3626.22,3145.43,TOPLAYER,INTERNALPLANE1,0.0144548,0.0144547,0.000382973
3626.22,3145.43,INTERNALPLANE1,INTERNALPLANE2,0.0144547,0.014454,0.000382973
3626.22,3145.43,INTERNALPLANE2,BOTTOMLAYER,0.014454,0.014454,0.000382973
3626.22,3381.65,TOPLAYER,INTERNALPLANE1,0.0144452,0.0144452,0.000126061
3626.22,3381.65,INTERNALPLANE1,INTERNALPLANE2,0.0144452,0.0144449,0.000126061
3626.22,3381.65,INTERNALPLANE2,BOTTOMLAYER,0.0144449,0.0144449,0.000126061
3766.01,3283.85,TOPLAYER,INTERNALPLANE1,0.0144486,0.0144486,0.000451201
3766.01,3283.85,INTERNALPLANE1,INTERNALPLANE2,0.0144486,0.0144485,0.000451201
3766.01,3283.85,INTERNALPLANE2,BOTTOMLAYER,0.0144485,0.0144485,0.000451201
3766.01,3449.2,TOPLAYER,INTERNALPLANE1,0.0144436,0.0144436,0.000177757
3766.01,3449.2,INTERNALPLANE1,INTERNALPLANE2,0.0144436,0.0144435,0.000177757
3766.01,3449.2,INTERNALPLANE2,BOTTOMLAYER,0.0144435,0.0144435,0.000177757
3766.01,3614.56,TOPLAYER,INTERNALPLANE1,0.0144402,0.0144402,0.000106735
3766.01,3614.56,INTERNALPLANE1,INTERNALPLANE2,0.0144402,0.0144402,0.000106735
3766.01,3614.56,INTERNALPLANE2,BOTTOMLAYER,0.0144402,0.0144402,0.000106735
3766.01,3779.91,TOPLAYER,INTERNALPLANE1,0.0144384,0.0144384,8.82929e-05
3766.01,3779.91,INTERNALPLANE1,INTERNALPLANE2,0.0144384,0.0144384,8.82929e-05
3766.01,3779.91,INTERNALPLANE2,BOTTOMLAYER,0.0144384,0.0144384,8.82929e-05
3862.44,783.226,TOPLAYER,INTERNALPLANE1,0.0197472,0.0196876,0.441844
3862.44,783.226,INTERNALPLANE1,INTERNALPLANE2,0.0196876,0.0189123,0.441844
3862.44,783.226,INTERNALPLANE2,BOTTOMLAYER,0.0189123,0.0188527,0.441844
3862.44,1255.67,TOPLAYER,INTERNALPLANE1,0.0199388,0.0198879,0.377008
